;userName;content;score;at
164;Ahmad gaming;Bintang 3 dulu kalo saya baru pemula;3;2021-04-11 2.12.16
165;hobby gowes;untuk jangka panjang oke banget...;4;2021-04-07 14.42.21
166;Arie Ken Sweet;sangat bermanfaat bagi investor pemula;5;2021-04-07 23.50.39
167;Ando Naibaho;masih pemula, lumayan gampang lah??;5;2021-04-14 4.12.16
168;Ridho Project;insyaallah sangat membantu;5;2021-05-21 0.36.24
169;Sukadi Pratama;aplikasi mudah dipahami buat pemula;5;2021-04-07 0.45.37
170;Farah Annas;investasi simpel dan mudah dipahami;5;2021-04-06 3.12.29
171;Adelta Putra Junior;Investasi yang mudah juga UI yang sangat keren;5;2021-04-26 0.23.40
172;Yuki Sierra;PROSES PENCAIRAN DANA TERLALU LAMBAT SUMPAH LAMBAT BTL TP PADA SAAT PEMBELIAN CEPAT DAN PENCAIR LAMBAT MOHON DI PERBAIKIN;1;2021-04-21 6.13.35
173;Linda Siti Fauziah;Kode refferal lindafauziahhh dan dapatkan cashback 25rb;4;2021-04-07 6.46.20
174;Syakur Channel;Keren. Belajar investasi dari bibit;5;2021-04-12 9.35.03
175;nizran paputungan;hebat bisa beli saham modal kecil.;5;2021-05-05 13.52.26
176;Saka Tariu;Pemula hadir;4;2021-06-06 9.27.34
177;taufiq hidayat;membantu investor pemula.. bagus;5;2021-04-22 6.42.44
178;Margaret vBawengan;sejauh ini goodlah??bt belajar investasi;5;2021-04-08 10.05.21
179;Annisa Maharani;sumpah suka banget sama apk bibit ini;5;2021-04-03 8.21.58
180;VK_Hidayat CHANEL;Sory mau tnya ini diawasi OJK asli ?;4;2021-05-05 17.09.06
181;Debora Risti;best buat pemula ada robo dan edukasinya juga;5;2021-04-12 2.27.11
182;arya perkasa;Bisa beli pake aplikasi dana nggak kak;3;2021-04-04 6.04.55
183;Andi Waraholl;gak naik2 sahamku, malah turun, jadi kujual deh????;1;2021-04-05 20.18.52
184;Adnan WJ Grub;dengan bibit saya belajar investasi;5;2021-04-06 15.48.36
185;Yasmin Gadijah;lumayan lah bisa nabung tiap bulan;5;2021-04-06 4.25.50
186;azrina ismail;bagus untuk nabung jangka panjang;5;2021-04-09 15.07.01
187;Cahya Kusuma;aplikasi Reksadana yg lumayan bagus;4;2021-03-31 9.18.43
188;Fahri _Husaini;Metode pembayaran masih terbatas.;3;2021-04-06 2.03.01
189;habsani sitisarah;pengalaman baik yg tak terlupakan;5;2021-04-13 9.46.50
